ReportID,CandidateID,GroupID,Report Name,Election Cycle,Filing Due Date,Filed Date,Amended,Superseded
47360,6303,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47361,6476,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47362,,617,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47363,854,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47364,,1683,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47365,,1682,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47366,,956,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47367,,2346,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47368,211,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47369,,1708,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47370,6259,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47371,5586,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47372,3419,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47373,4610,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47374,6530,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47375,,698,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47376,5927,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47377,4426,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47378,2346,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47379,6467,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47380,6384,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47381,4182,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47382,,1676,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47383,4395,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47384,6175,,"CE Report 3","2014",10/14/2014,"06/06/2014",F,T
47386,6070,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47387,6175,,"CE Report 3 (Amended)","2014",10/14/2014,"06/06/2014",T,F
47389,,1706,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47390,,601,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47391,13673,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47392,,1884,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47393,4099,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47395,4342,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47396,6175,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47397,6352,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47400,,641,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47401,6293,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47402,4254,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47403,6243,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47404,,709,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47405,6079,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47406,6505,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47407,1418,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47408,3318,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
